title,tags,access,isinvitationonly,snippet,description,thumbnail
Climate and Weather,"climate, weather",public,TRUE,"This group includes web maps, services, and applications related to climate and weather.","This group includes web maps, services, and applications related to climate and weather.",http://radar.weather.gov/Conus/RadarImg/southmissvly.gif
Transportation and Logistics,"transportation, logistics",public,TRUE,"This group includes web maps, services, and applications related to transportation and logistics.","This group includes web maps, services, and applications related to transportation and logistics.",http://img.ehowcdn.com/article-new/ehow/images/a07/j5/s6/logistics-transportation-management-degrees-800x800.jpg
Real Estate,"real estate, tax, taxes",public,TRUE,"This group includes web maps, services, and applications related to real estate.","This group includes web maps, services, and applications related to real estate.",http://img.ehowcdn.com/article-new/ehow/images/a02/0f/ul/invest-commercial-real-estate-800x800.jpg
Land Use,land use,public,TRUE,"This group includes web maps, services, and applications related to land use.","This group includes web maps, services, and applications related to land use.",http://www.geoplatform.gov/sharing/community/groups/4689f6ebe1674e5c99c7205cac0d5cf6/info/land_use_land_cover_final.png
Critical Events and Disaster Response,"critical events, disaster, disaster response, hazards",public,TRUE,"This group includes web maps, services, and applications related to critical events and disaster response.","This group includes web maps, services, and applications related to critical events and disaster response.",http://www.geoplatform.gov/sharing/community/groups/a7e9d36055c84b0e8f67a664b2182218/info/hurr.png
Political,"political, politics, government",public,TRUE,"This group includes web maps, services, and applications related to politics and government.","This group includes web maps, services, and applications related to politics and government.",http://www.countyofsb.org/uploadedImages/ceo/redistricting/basemap.jpg
Imagery,"imagery, raster, remote sensing",public,TRUE,"This group includes web maps, services, and applications related to imagery.","This group includes web maps, services, and applications related to imagery.",http://www.geoplatform.gov/sharing/community/groups/6f903aae534e4dd9b414e60e6761e2e3/info/imagery_final.jpg
Global Trade,"global trade, international",public,TRUE,"This group includes web maps, services, and applications related to global trade.","This group includes web maps, services, and applications related to global trade.",http://img.ehowcdn.com/article-new/ehow/images/a06/81/jr/define-term-drawback-trade-agreement-800x800.jpg
Housing and Urban Development,"housing, urban development, HUD",public,TRUE,"This group includes web maps, services, and applications related to housing and urban development.","This group includes web maps, services, and applications related to housing and urban development.",http://img.ehowcdn.com/article-new/ehow/images/a07/lg/6b/issues-urban-development-800x800.jpg
Demographics,"demographics, population",public,TRUE,"This group includes web maps, services, and applications related to demographics.","This group includes web maps, services, and applications related to demographics.",http://www.esri.com/software/mapping-for-everyone/~/media/Images/Content/Software/mapping-for-everyone/demographicmap.jpg
